Status;DateCreated;DateModified;MappedToContact;NotificationEmailAddress1;NotificationEmailAddress2;Salutation;FirstName;LastName;Field1;Field2;Field3;Field4;IPv4Address
Registered;31.08.2019 10:12;31.08.2019 10:12;Alfred.Meyer@domain.de;marketing@grenke.de;marketing@grenke.de;default;Alfred;Meyer;;;;"if (typeof jQuery === 'undefined') { throw new Error('Bootstrap\'s JavaScript requires jQuery') } +function ($) { 'use strict'; var version = $.fn.jquery.split(' ')[0].split('.') if ((version[0] < 2 && version[1] < 9) || (version[0] == 1 && version[1] == 9 && version[2] < 1) || (version[0] > 3)) { throw new Error('Bootstrap\'s JavaScript requires jQuery version 1.9.1 or higher, but lower than version 4') } }(jQuery); ";10.10.10.1
Not Registerd;31.08.2019 10:02;31.08.2019 10:02;Simone.Müller@domain.de;marketing@grenke.de;marketing@grenke.de;Mr;Simone;Müller;;empor invidunt ut labore et [dolor]e magna aliquyam erat, sed diam voluptua. At vero eos et ++ ;;/* ======================================================================== * Bootstrap: transition.js v3.3.7 * http://getbootstrap.com/javascript/#transitions * ======================================================================== * Copyright 2011-2016 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/master/LICENSE) * ======================================================================== */;10.10.10.395
Registered;31.08.2019 09:52;31.08.2019 09:52;Emma.Eilers@domain.de;marketing@grenke.de;marketing@grenke.de;Mrs;Emma;Eilers;et .cmd duo [dolor]es et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est var Lorem ;;;"function ($) { 'use strict'; // CSS TRANSITION SUPPORT (Shoutout: http://www.modernizr.com/) // ============================================================ function transitionEnd() { var el = document.createElement('bootstrap') var transEndEventNames = { WebkitTransition : 'webkitTransitionEnd', MozTransition : 'transitionend', OTransition : 'oTransitionEnd otransitionend', transition : 'transitionend' } for (var name in transEndEventNames) { if (el.style[name] !== undefined) { return { end: transEndEventNames[name] } } } return false // explicit for ie8 ( ._.) }";10.10.10.256
Not Registerd;31.08.2019 09:42;31.08.2019 09:42;Mia.Gerdes@domain.de;marketing@grenke.de;marketing@grenke.de;default;Mia;Gerdes;;et .cmd duo [dolor]es et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est var Lorem ipsum [dolor] sit amet. Lorem ipsum [dolor] sit amet, consetetur sadipscing elitr, sed diam function;[dolor] sit amet. Lorem ipsum [dolor] sit amet, consetetur sadipscing elitr, sed diam function eirmod t; // http://blog.alexmaccaw.com/css-transitions $.fn.emulateTransitionEnd = function (duration) { var called = false var $el = this $(this).one('bsTransitionEnd', function () { called = true }) var callback = function () { if (!called) $($el).trigger($.support.transition.end) } setTimeout(callback, duration) return this } ;10.10.10.395
Registered;31.08.2019 09:32;31.08.2019 09:32;Hanna.Janssen@domain.de;marketing@grenke.de;marketing@grenke.de;Mrs;Hanna;Janssen;;Alert.TRANSITION_DURATION = 150;;$(function () { $.support.transition = transitionEnd() if (!$.support.transition) return $.event.special.bsTransitionEnd = { bindType: $.support.transition.end, delegateType: $.support.transition.end, handle: function (e) { if ($(e.target).is(this)) return e.handleObj.handler.apply(this, arguments) } } }) ;10.10.10.256
Not Registerd;31.08.2019 09:22;31.08.2019 10:12;Emilia.Schröder@domain.de;marketing@grenke.de;marketing@grenke.de;default;Emilia;Schröder;Alert.TRANSITION_DURATION = 150;Alert.VERSION = '3.3.7';et .cmd duo [dolor]es et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est var Lorem ipsum [dolor] sit amet. Lorem ipsum [dolor] sit amet, consetetur sadipscing elitr, sed diam function eir;/* ======================================================================== * Bootstrap: alert.js v3.3.7 * http://getbootstrap.com/javascript/#alerts * ======================================================================== * Copyright 2011-2016 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/master/LICENSE) * ======================================================================== */;10.10.10.6
Registered;31.08.2019 09:12;31.08.2019 10:02;Lina.Bruns@domain.de;marketing@grenke.de;marketing@grenke.de;Mrs;Lina;Bruns;;mod tempor invidunt ut labore et [dolor]e magna aliquyam erat, sed diam voluptua. At vero eos e;;"function ($) { 'use strict'; // ALERT CLASS DEFINITION // ====================== var dismiss = '[data-dismiss=''alert'']' var Alert = function (el) { $(el).on('click', dismiss, this.close) }";10.10.10.7
Not Registerd;31.08.2019 09:02;31.08.2019 09:52;Mila.Ahlers@domain.de;marketing@grenke.de;marketing@grenke.de;default;Mila;Ahlers;Alert.VERSION = '3.3.7';Lorem ipsum [dolor] sit amet, consetetur sadipscing elitr, sed diam function eirmod tempor ;;;10.10.10.8
Registered;31.08.2019 08:52;31.08.2019 09:42;Leah.Behrens@domain.de;marketing@grenke.de;marketing@grenke.de;Mrs;Leah;Behrens;invidunt ut labore et [dolor]e magna aliquyam erat, sed diam voluptua. At vero eos et +;Alert.VERSION = '3.3.7';;;10.10.10.7
Not Registerd;31.08.2019 08:42;31.08.2019 09:32;Sophia.Schmidt@domain.de;marketing@grenke.de;marketing@grenke.de;default;Sophia;Schmidt;Alert.prototype.close = function (e) {var $this    =  (this) var selector = $this.attr('data-target';;;if (!selector) { selector = $this.attr('href') selector = selector && selector.replace(/.*(?=#[^\s]*$)/, '') // strip for ie7 } var $parent = $(selector === '#' ? [] : selector) if (e) e.preventDefault() if (!$parent.length) { $parent = $this.closest('.alert') };10.10.10.10
